§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Angeblich „LGBT-freie Zonen” in Polen und der europaweite Anstieg von Übergriffen gegen LSBTI sind mit europäischen Werten nicht vereinbar§politik und ideologie§0.3316238522529602§[('politik und ideologie', 0.3316238522529602), ('bildung', 0.23133984208106995), ('klima', 0.12686504423618317)]
0§Inner- halb der EU geschlossene gleichgeschlechtliche Ehen sollen mit allen Rechten und Pflichten anerkannt werden§bildung§0.4027964174747467§[('bildung', 0.4027964174747467), ('politik und ideologie', 0.19620488584041595), ('gesundheit', 0.11740776151418686)]
0§Menschenrechtliche Sorgfaltspflicht in Unternehmen fördern  Wir Freie Demokraten setzen auf gelebte Eigenverantwortung von Unternehmen und Konsumenten zum besseren Schutz der Menschenrechte§bildung§0.29036805033683777§[('bildung', 0.29036805033683777), ('gesundheit', 0.1844056397676468), ('politik und ideologie', 0.1649855226278305)]
0§Denn gerade Letztere haben insbesondere durch ihre Nachfragemacht großen Einfluss die Produktions- bedingungen§gesundheit§0.32225048542022705§[('gesundheit', 0.32225048542022705), ('bildung', 0.202169269323349), ('wirtschaft', 0.183824360370636)]
0§Gleichzeitig wollen wir daran mitwirken, dass Unternehmen durch die Beachtung von Menschenrechten mehr Wettbewerbsvorteile als -nachteile haben§gesundheit§0.34451234340667725§[('gesundheit', 0.34451234340667725), ('bildung', 0.23391935229301453), ('klima', 0.11906884610652924)]
0§Daher treten wir für eine einheitliche europäische Regelung zur menschen- rechtlichen Sorgfaltspflicht in der Lieferkette ein§bildung§0.3564615249633789§[('bildung', 0.3564615249633789), ('gesundheit', 0.15698103606700897), ('politik und ideologie', 0.14653854072093964)]
0§Wir sind überzeugt, dass nur gemeinsame europäische Standards dem Binnenmarkt gerecht werden und zu einer positiven und nach- haltigen Wertschöpfungskette beitragen§gesundheit§0.3806600868701935§[('gesundheit', 0.3806600868701935), ('bildung', 0.1779688000679016), ('wissenschaft', 0.1666884571313858)]
0§Viele deutsche und europäische Unternehmen leisten bereits jetzt einen wichtigen Beitrag zur schrittweisen Verbesserung der Lebensbedingun- gen sowie der menschenrechtlichen und sozialen Lage in Entwicklungsländern§bildung§0.3093132972717285§[('bildung', 0.3093132972717285), ('gesundheit', 0.22186042368412018), ('soziale ursachen', 0.12579646706581116)]
0§Sie haben allerdings weder die Markt- macht noch das Personal, um die Einhaltung der Menschen- rechte entlang ihrer Lieferketten weltweit zu garantieren§gesundheit§0.36306890845298767§[('gesundheit', 0.36306890845298767), ('bildung', 0.28961673378944397), ('klima', 0.08886858075857162)]
0§Da- mit das Engagement nicht gefährdet wird, sollte die Haftung in der Lieferkette nur auf den Bereich der direkten Kontrolle bezogen werden, ohne neue zivilrechtliche Haftungsan- sprüche zu begründen§bildung§0.293016642332077§[('bildung', 0.293016642332077), ('gesundheit', 0.28187572956085205), ('soziale ursachen', 0.08274334669113159)]
0§Wir schlagen einen risiko-, größen- und sektorspezifischen Ansatz vor§bildung§0.22236813604831696§[('bildung', 0.22236813604831696), ('gesundheit', 0.21490974724292755), ('wirtschaft', 0.13449518382549286)]
0§Die Schaffung weiterer Dokumentationspflichten oder unnötiger bürokratischer Hürden lehnen wir ab§none§0.2998611629009247§[('none', 0.2998611629009247), ('bildung', 0.1675846129655838), ('politik und ideologie', 0.12047632038593292)]
0§Menschenrechtsbezogene Risiken von Tätigkeiten und Geschäftsbeziehungen werden reduziert§bildung§0.3051305413246155§[('bildung', 0.3051305413246155), ('wirtschaft', 0.14694564044475555), ('soziale ursachen', 0.13566088676452637)]
0§Die Beachtung von sozialen und ökologischen Kriterien fördert zudem Investitionen von verantwortungsbewussten Unterneh- merinnen und Unternehmern§bildung§0.2674868404865265§[('bildung', 0.2674868404865265), ('soziale ursachen', 0.2095709592103958), ('wirtschaft', 0.12915079295635223)]
0§Vor allem kleine und mittlere Unternehmen sollten bei ihrem Engagement in Entwicklungs- ländern unterstützt werden§bildung§0.46519356966018677§[('bildung', 0.46519356966018677), ('gesundheit', 0.15848571062088013), ('klima', 0.09045292437076569)]
0§Bildung, Teilhabe und eine wirtschaftliche Perspektive sind weltweit die zentralen Grundlagen für ein selbstbestimm- tes Leben§wirtschaft§0.41310760378837585§[('wirtschaft', 0.41310760378837585), ('bildung', 0.30595314502716064), ('gesundheit', 0.08279527723789215)]
0§Wir Freie Demokraten setzen uns deshalb für eine werteorientierte Entwicklungspolitik ein, die Chancen ermöglicht und Armut bekämpft§politik und ideologie§0.5842270851135254§[('politik und ideologie', 0.5842270851135254), ('bildung', 0.17559587955474854), ('gesundheit', 0.06335173547267914)]
0§Dabei setzen wir auf Qualität statt Quantität der eingesetzten Mittel, um so auch Demokratie, gute Regierungsführung, Rechtsstaatlichkeit und Soziale Marktwirtschaft in der Entwicklungszusammenarbeit zu fördern§wirtschaft§0.2671661376953125§[('wirtschaft', 0.2671661376953125), ('politik und ideologie', 0.2419610470533371), ('bildung', 0.18515227735042572)]
0§Wir werden die öffentlichen Mittel der Entwick- lungszusammenarbeit als Hebel nutzen, um nationale und internationale Privatinvestitionen sowie philanthropisches Engagement zu mobilisieren und staatliche Eigeneinnahmen in Entwicklungsländern zu generieren§bildung§0.37510791420936584§[('bildung', 0.37510791420936584), ('gesundheit', 0.12987785041332245), ('wirtschaft', 0.12156575173139572)]
0§Nachhaltige Entwicklung und Klimaschutz - Agenda endlich umsetzen  Wir Freie Demokraten bekennen uns zu den Nachhaltig- keitszielen („Sustainable Development Goals” — SDGs) der Agenda der Vereinten Nationen und dem Pariser Klimaabkommen§klima§0.26999980211257935§[('klima', 0.26999980211257935), ('politik und ideologie', 0.22277364134788513), ('bildung', 0.19290731847286224)]
0§Wir fordern deshalb die Weiterentwick- lung der Deutschen Nachhaltigkeitsstrategie (DNS) entlang dieser Ziele und Indikatoren§bildung§0.298204630613327§[('bildung', 0.298204630613327), ('gesundheit', 0.21367163956165314), ('wissenschaft', 0.10795144736766815)]
0§Die Ziele für nachhaltige Entwicklung sind ein wichtiger Beitrag zur Gestaltung der Globalisierung§bildung§0.2372049242258072§[('bildung', 0.2372049242258072), ('gesundheit', 0.15683625638484955), ('soziale ursachen', 0.10953450947999954)]
0§Wir Freie Demokraten sehen in nachhaltiger Entwicklung die Chance auf mehr Freiheit für uns alle und für zukünftige Generationen§politik und ideologie§0.29710060358047485§[('politik und ideologie', 0.29710060358047485), ('bildung', 0.26338425278663635), ('gesundheit', 0.11429591476917267)]
0§Die globalen Herausforderungen des  Jahrhunderts, wie die aktuelle Covid-Pandemie, Klimaveränderungen und Umweltzerstörung, armuts- und kriegsbedingte Fluchtbewegungen, zerfallende Staaten und schlechte Regierungsführung verlangen einerseits ein besser abgestimmtes europäisches und internationales Vorgehen und andererseits eine einheitliche deutsche Positionierung§bildung§0.3244665265083313§[('bildung', 0.3244665265083313), ('politik und ideologie', 0.16946391761302948), ('klima', 0.12952950596809387)]
0§Gegen- wärtig agieren die Ressorts weder abgestimmt noch lässt sich eine politische Gesamtstrategie erkennen§politik und ideologie§0.5089484453201294§[('politik und ideologie', 0.5089484453201294), ('bildung', 0.21109770238399506), ('gesundheit', 0.10175047069787979)]
0§Mit einer moder- nen und innovativen Entwicklungspolitik unterstützen wir unse- re Partnerinnen und Partner, die Chancen der Digitalisierung, Automatisierung und Urbanisierung in Wert zu setzen§bildung§0.28180602192878723§[('bildung', 0.28180602192878723), ('none', 0.26068517565727234), ('politik und ideologie', 0.20511949062347412)]
0§Entwicklungszusammenarbeit stärker europäisch und international koordinieren  Wir Freie Demokraten setzen uns für die Stärkung der europäischen und internationalen Entwicklungszusammen- arbeit ein§bildung§0.4290366768836975§[('bildung', 0.4290366768836975), ('gesundheit', 0.23639161884784698), ('politik und ideologie', 0.07934346050024033)]
0§Die Bekämpfung von Hunger, die Förderung  von Bildung, der Einsatz für den internationalen Klima-, Arten- und Umweltschutz, die Gesundheitsversorgung sowie sexuelle und reproduktive Rechte können wir nur gemeinsam mit unseren europäischen und internationalen Partnerinnen und Partnern erreichen§gesundheit§0.4624532461166382§[('gesundheit', 0.4624532461166382), ('bildung', 0.15882325172424316), ('klima', 0.11293693631887436)]
0§Durch eine stärkere Kooperation und Koordination mit unseren europäischen und internationalen Partnerinnen und Partnern wollen wir zusätzlich Synergien schaffen und die Wirkung der internationalen Entwicklungs- zusammenarbeit deutlich steigern§bildung§0.46625351905822754§[('bildung', 0.46625351905822754), ('gesundheit', 0.13654756546020508), ('wissenschaft', 0.07839865982532501)]
0§Die Covid-Pandemie,  Das Programm der Freien Demokraten zur Bundestagswahl  die insbesondere in Entwicklungs- und Schwellenländern zu massiven sozialen und wirtschaftlichen Verlusten geführt hat, erfordert besondere Anstrengungen§politik und ideologie§0.28750646114349365§[('politik und ideologie', 0.28750646114349365), ('soziale ursachen', 0.28411298990249634), ('bildung', 0.20208437740802765)]
0§Dabei gilt es, sämtliche Entwicklungs- und Wiederaufbaumaßnahmen neben der För- derung von Wachstum und Beschäftigung zwingend auch an die Stärkung der wirtschaftlichen, sozialen und ökologischen Widerstandskraft in den Partnerländern zu binden§bildung§0.3124958872795105§[('bildung', 0.3124958872795105), ('wirtschaft', 0.26517733931541443), ('gesundheit', 0.14407114684581757)]
0§Hierzu wollen wir auch die multilaterale Unterstützung für die am we- nigsten entwickelten Länder (LDCs) stärken und bis spätestens  Prozent des Bruttoinlandsprodukts, vorrangig für multilaterale Initiativen, zur Verfügung stellen§bildung§0.2529394030570984§[('bildung', 0.2529394030570984), ('gesundheit', 0.2458290308713913), ('wirtschaft', 0.13203275203704834)]
0§Europäische Entwicklungsbank aufbauen  Wir Freie Demokraten setzen uns für die Schaffung einer Europäischen Entwicklungsbank unter dem Dach der Europäi- schen Investitionsbank (EIB) ein§bildung§0.4200446605682373§[('bildung', 0.4200446605682373), ('gesundheit', 0.23201636970043182), ('politik und ideologie', 0.10767228901386261)]
0§Angesichts gegenwärtiger und zukünftiger Herausforderungen muss die europäische Entwicklungspolitik schlagkräftiger werden, um freiheitliche Werte weltweit verteidigen zu können§politik und ideologie§0.4181998074054718§[('politik und ideologie', 0.4181998074054718), ('bildung', 0.21618099510669708), ('wirtschaft', 0.09198504686355591)]
0§Dafür muss die Ent- wicklungszusammenarbeit der EU und ihrer Mitgliedstaaten besser aufeinander abgestimmt werden§bildung§0.2982959449291229§[('bildung', 0.2982959449291229), ('gesundheit', 0.23484811186790466), ('politik und ideologie', 0.15524843335151672)]
0§Die EIB bietet hierfür den geeigneten Rahmen§bildung§0.4127204716205597§[('bildung', 0.4127204716205597), ('gesundheit', 0.24968938529491425), ('wirtschaft', 0.08203727751970291)]
0§Eine Europäische Entwicklungs- bank, die den Fokus auf Demokratie, Marktwirtschaft und Rechtsstaatlichkeit legt und die Mobilisierung von privatem Kapital steigert, kann Teil einer gemeinsamen europäischen Antwort auf die chinesische „Belt and Road“-Initiative sein, damit Entwicklungsländer nicht vom autokratischen Regime in Peking abhängig werden§bildung§0.28582778573036194§[('bildung', 0.28582778573036194), ('politik und ideologie', 0.1902497112751007), ('gesundheit', 0.18552811443805695)]
0§Für eine europäisch abgestimmte Afrikapolitik  Wir Freie Demokraten fordern eine europäisch und zwischen den europäischen Mitgliedstaaten abgestimmte Afrikapoli- tik§politik und ideologie§0.4617103040218353§[('politik und ideologie', 0.4617103040218353), ('bildung', 0.19772793352603912), ('gesundheit', 0.1594650000333786)]
0§Wir wollen die Staaten Afrikas partnerschaftlich bei der Stärkung von Wirtschaft, Politik, Zivilgesellschaft und, sofern geboten, der Sicherheitskräfte unterstützen§wirtschaft§0.26383376121520996§[('wirtschaft', 0.26383376121520996), ('bildung', 0.25137948989868164), ('gesundheit', 0.2071739286184311)]
0§So wollen wir nicht nur Europas historischer Verantwortung gerecht werden, sondern auch die Integration Afrikas in regionale und globale Wirtschaftskreisläufe fördern§wirtschaft§0.4499790668487549§[('wirtschaft', 0.4499790668487549), ('bildung', 0.180778369307518), ('gesundheit', 0.16157954931259155)]
0§Dies trägt auch der Tatsache Rechnung, dass gerade Subsahara-Afrika mehr und mehr zu einem echten Wirtschaftspartner Deutschlands und Europas wird§wirtschaft§0.435687780380249§[('wirtschaft', 0.435687780380249), ('gesundheit', 0.22472168505191803), ('bildung', 0.17556630074977875)]
0§Zudem wollen wir Anreize für gute Regierungsführung schaffen§politik und ideologie§0.2753472328186035§[('politik und ideologie', 0.2753472328186035), ('bildung', 0.19683484733104706), ('gesundheit', 0.1699836552143097)]
0§Die Freiheit zur Eigengestaltung, Beteiligungsrechte und gute Regierungsführung sind Grundvoraussetzungen für Wachstum und Entwicklung§bildung§0.270500510931015§[('bildung', 0.270500510931015), ('wirtschaft', 0.1533183455467224), ('politik und ideologie', 0.14394573867321014)]
0§Wir begrüßen, dass die Wirt- schaftspartnerschaftsabkommen der EU mit regionalen Grup- pen von AKP-Staaten (Organisation afrikanischer, karibischer und pazifischer Staaten) die Handelsbeziehungen zwischen EU und Afrika auf eine WTO-konforme Rechtsgrundlage stellen und allen afrikanischen Staaten einen erleichterten und bevorzugten Marktzugang bieten§gesundheit§0.24151471257209778§[('gesundheit', 0.24151471257209778), ('bildung', 0.23969288170337677), ('wirtschaft', 0.1364099681377411)]
0§Ziel muss dennoch der vollständige Zugang zum EU-Binnenmarkt und der Ab- bau protektionistischer Maßßnahmen sein§bildung§0.22647225856781006§[('bildung', 0.22647225856781006), ('politik und ideologie', 0.19173552095890045), ('gesundheit', 0.16792570054531097)]
0§Marktverzerrende Subventionen der EU insbesondere im Agrarbereich dürfen den Aufbau wettbewerbsfähiger Märkte in Afrika nicht unter- graben§bildung§0.299405962228775§[('bildung', 0.299405962228775), ('gesundheit', 0.20376965403556824), ('wirtschaft', 0.18440842628479004)]
0§Die EU muss die regionale wirtschaftliche Integration   innerhalb Afrikas und die nachhaltige Wertschöpfung vor Ort stärker unterstützen§wirtschaft§0.7439219355583191§[('wirtschaft', 0.7439219355583191), ('bildung', 0.09276898205280304), ('gesundheit', 0.05630623549222946)]
